episode,step,hour,rebalance_cost,num_rebalances,total_demand,total_served,service_rate,reward
2,106,107,43.735096871852875,6,20566.0,20566.0,1.0,0.6922649031281471
2,107,108,0.0,0,20778.0,20778.0,1.0,0.848
2,108,109,9.914353370666504,1,21003.0,21003.0,1.0,0.8900856466293335
2,109,110,23.247618675231934,2,21227.0,21227.0,1.0,0.8727523813247681
2,110,111,18.354323387145996,1,21450.0,21450.0,1.0,0.873645676612854
2,111,112,44.30132579803467,4,21687.0,21687.0,1.0,0.9036986742019654
2,112,113,0.0,0,21933.0,21933.0,1.0,0.984
2,113,114,0.0,0,22248.0,22248.0,1.0,1.26
2,114,115,13.292863845825195,1,22557.0,22557.0,1.0,1.2227071361541748
2,115,116,52.626816511154175,4,22792.0,22792.0,1.0,0.8873731834888459
2,116,117,17.24933910369873,2,23007.0,23007.0,1.0,0.8427506608963012
2,117,118,0.0,0,23213.0,23213.0,1.0,0.824
2,118,119,19.232211112976074,2,23384.0,23384.0,1.0,0.6647677888870239
2,119,120,0.0,0,23551.0,23551.0,1.0,0.668
2,120,121,19.039989948272705,2,23689.0,23689.0,1.0,0.5329600100517273
2,121,122,6.116881847381592,1,23826.0,23826.0,1.0,0.5418831181526184
2,122,123,0.0,0,23957.0,23957.0,1.0,0.524
2,123,124,24.436853408813477,2,24075.0,24075.0,1.0,0.4475631465911865
2,124,125,0.0,0,24189.0,24189.0,1.0,0.456
2,125,126,0.0,0,24298.0,24298.0,1.0,0.436
2,126,127,0.0,0,24444.0,24444.0,1.0,0.584
2,127,128,11.884529829025269,1,24620.0,24620.0,1.0,0.6921154701709747
2,128,129,59.207258224487305,6,24880.0,24880.0,1.0,0.9807927417755127
2,129,130,0.0,0,25072.0,25072.0,1.0,0.768
2,130,131,0.0,0,25279.0,25279.0,1.0,0.828
2,131,132,19.094901084899902,1,25490.0,25490.0,1.0,0.8249050989151001
2,132,133,0.0,0,25697.0,25697.0,1.0,0.828
2,133,134,12.172199249267578,1,25938.0,25938.0,1.0,0.9518278007507324
2,134,135,21.277188062667847,2,26158.0,26158.0,1.0,0.8587228119373321
2,135,136,0.0,0,26387.0,26387.0,1.0,0.916
2,136,137,22.926267385482788,2,26632.0,26632.0,1.0,0.9570737326145172
2,137,138,48.191035747528076,4,26953.0,26953.0,1.0,1.2358089642524719
2,138,139,21.108142852783203,2,27230.0,27230.0,1.0,1.0868918571472168
2,139,140,47.017927169799805,2,27481.0,27481.0,1.0,0.9569820728302002
2,140,141,4.646870136260986,1,27689.0,27689.0,1.0,0.827353129863739
2,141,142,0.0,0,27915.0,27915.0,1.0,0.904
2,142,143,0.0,0,28108.0,28108.0,1.0,0.772
2,143,144,18.691826343536377,2,28261.0,28261.0,1.0,0.5933081736564636
2,144,145,0.0,0,28413.0,28413.0,1.0,0.608
2,145,146,12.755139350891113,1,28540.0,28540.0,1.0,0.4952448606491089
2,146,147,9.143219947814941,1,28664.0,28664.0,1.0,0.4868567800521851
2,147,148,0.0,0,28791.0,28791.0,1.0,0.508
2,148,149,0.0,0,28919.0,28919.0,1.0,0.512
2,149,150,14.030662536621094,1,29063.0,29063.0,1.0,0.561969337463379
2,150,151,8.157119750976562,1,29198.0,29198.0,1.0,0.5318428802490235
2,151,152,40.084638357162476,4,29380.0,29380.0,1.0,0.6879153616428375
2,152,153,0.0,0,29656.0,29656.0,1.0,1.104
2,153,154,18.08771848678589,2,29862.0,29862.0,1.0,0.8059122815132141
2,154,155,0.0,0,30065.0,30065.0,1.0,0.812
2,155,156,12.168216466903687,2,30262.0,30262.0,1.0,0.7758317835330963
2,156,157,28.875597953796387,4,30478.0,30478.0,1.0,0.8351244020462036
2,157,158,0.0,0,30703.0,30703.0,1.0,0.9
2,158,159,55.381020069122314,6,30925.0,30925.0,1.0,0.8326189799308776
2,159,160,45.35547494888306,4,31163.0,31163.0,1.0,0.9066445250511169
2,160,161,21.842071533203125,2,31438.0,31438.0,1.0,1.0781579284667968
2,161,162,12.253572344779968,2,31741.0,31741.0,1.0,1.19974642765522
2,162,163,21.162641048431396,2,32016.0,32016.0,1.0,1.0788373589515685
2,163,164,31.173481464385986,2,32277.0,32277.0,1.0,1.012826518535614
2,164,165,26.225653648376465,2,32490.0,32490.0,1.0,0.8257743463516235
